Gene ID	Gene Name	SRR934360	SRR934366	SRR934364	SRR934370	SRR934361	SRR934362	SRR934365	SRR934363	SRR934367	SRR934368	SRR934369
ENSG00000003393	ALS2	1323	383	1224	473	558	1305	741	1283	1032	880	796
ENSG00000003400	CASP10	513	482	866	723	352	883	1801	587	1293	564	386
ENSG00000003402	CFLAR	8717	3308	8062	3435	3182	9803	5957	6640	6104	7958	2688
ENSG00000003436	TFPI	2522	79	2504	261	542	1064	403	2102	1044	91	161
ENSG00000003509	NDUFAF7	436	199	381	258	230	574	346	354	434	492	272
ENSG00000003756	RBM5	3372	1901	4172	2132	2987	5154	2720	3125	3550	2988	2553
ENSG00000003987	MTMR7	191	151	131	181	154	245	570	162	283	107	202
ENSG00000003989	SLC7A2	5409	1937	3417	6657	2778	2939	13529	7292	3067	9071	11493
ENSG00000004059	ARF5	4647	2054	3028	2766	1880	4619	3511	3485	3194	3775	4145
ENSG00000004139	SARM1	500	127	502	187	319	499	272	389	370	396	536
ENSG00000004142	POLDIP2	5470	1644	3162	1982	2157	4587	3446	4361	3439	6653	5795
ENSG00000004399	PLXND1	2618	4906	2682	4503	1006	2475	7539	2410	5250	1990	3256
ENSG00000004455	AK2	5470	2251	3661	3242	2385	4799	5420	3739	3665	5112	3208
ENSG00000004468	CD38	190	0	404	100	40	320	1271	181	279	65	38
ENSG00000004478	FKBP4	10314	3462	5579	2339	4563	9397	5315	8250	5408	17995	13400
ENSG00000004487	KDM1A	4229	1564	3072	1818	1786	3563	2414	3344	3345	3577	3652
ENSG00000004534	RBM6	3598	1448	3298	1784	2829	4823	2364	2985	3015	1898	2506
ENSG00000004660	CAMKK1	1380	651	650	1073	612	1160	958	1163	1412	1243	497
ENSG00000004700	RECQL	779	206	760	392	180	806	617	608	761	350	914
ENSG00000004766	VPS50	1439	388	1062	440	606	1329	893	1288	976	900	1687
ENSG00000004776	HSPB6	320	63	220	39	148	423	81	330	159	34	6
ENSG00000004777	ARHGAP33	335	97	561	123	495	1079	172	299	302	87	291
ENSG00000004779	NDUFAB1	2323	1455	1325	1234	1007	2635	2241	1769	1876	2055	2308
ENSG00000004799	PDK4	3745	5233	9040	3195	185	3772	11332	2881	2698	4642	9470
ENSG00000004809	SLC22A16	0	0	3	0	0	2	0	0	2	0	0
ENSG00000004838	ZMYND10	122	128	220	77	79	363	112	200	223	64	269
ENSG00000004846	ABCB5	0	0	0	0	0	0	0	0	0	0	0
ENSG00000004848	ARX	3	44	4	91	1	6	508	3	347	12	21
ENSG00000004864	SLC25A13	1237	600	855	730	661	1300	968	1356	1335	2063	2946
ENSG00000004866	ST7	2928	541	1555	1031	1063	1957	1142	1976	1193	812	1622
ENSG00000004897	CDC27	7245	1723	4783	2552	2723	7932	3383	6972	4828	4437	4102
ENSG00000004939	SLC4A1	5	3	1	1	1	1	0	8	5	23	6
ENSG00000004948	CALCR	0	0	4	7	1	10	8	2	11	1	2
ENSG00000004961	HCCS	848	285	725	379	399	1034	703	971	675	817	1476
ENSG00000004975	DVL2	2269	809	1547	763	869	2064	1334	1959	1666	974	1420
ENSG00000005001	PRSS22	223	187	190	76	108	343	200	204	257	272	61
ENSG00000005007	UPF1	8238	3884	4798	5407	3334	6359	7054	6535	7375	8926	7420
ENSG00000005020	SKAP2	1137	271	1233	357	337	1153	1619	944	911	233	543
ENSG00000005022	SLC25A5	5572	1953	3910	1913	1947	4815	4746	4526	3681	6854	9267
ENSG00000005059	MCUB	200	270	457	310	52	444	956	143	646	857	94
ENSG00000005073	HOXA11	0	2	0	0	0	0	0	0	0	1	0
ENSG00000005075	POLR2J	838	354	418	395	323	930	588	570	511	446	685
ENSG00000005100	DHX33	1124	318	730	426	439	883	574	810	811	888	923
ENSG00000005102	MEOX1	11	8	54	29	8	83	179	16	95	20	16
ENSG00000005108	THSD7A	1203	110	303	91	334	360	172	1224	249	125	333
ENSG00000005156	LIG3	1382	466	1253	605	732	1693	805	1414	970	1205	1406
ENSG00000005175	RPAP3	1647	532	1113	688	545	1574	1165	1197	1298	761	1757
ENSG00000005187	ACSM3	174	135	98	41	52	104	108	129	176	2077	342
ENSG00000005189	REXO5	74	62	69	36	27	85	73	42	117	144	71
ENSG00000005194	CIAPIN1	1726	642	1006	588	712	1506	1047	1278	1250	1439	1571
ENSG00000005206	SPPL2B	1611	780	1311	916	1579	2647	1068	1419	1297	1655	1784
ENSG00000005238	FAM214B	1132	686	840	670	662	1568	1319	1070	1187	997	974
ENSG00000005243	COPZ2	1350	164	644	245	665	1169	443	941	628	638	1525
ENSG00000005249	PRKAR2B	301	51	405	84	159	403	363	206	263	33	390
ENSG00000005302	MSL3	1093	525	1048	690	538	1461	1318	903	1041	733	1043
ENSG00000005339	CREBBP	7898	2352	5340	2492	2638	6305	3353	6618	6274	4293	5345
ENSG00000005379	TSPOAP1	2564	511	2515	403	1722	2984	482	2116	1235	600	629
ENSG00000005381	MPO	3	1	4	1	9	11	6	12	13	12	9
ENSG00000005421	PON1	3	1	3	1	12	5	0	2	4	1	1
ENSG00000005436	GCFC2	1454	339	1048	559	546	1483	732	1248	933	2383	715
ENSG00000005448	WDR54	577	296	480	314	214	534	403	362	473	135	281
ENSG00000005469	CROT	5702	1099	1991	1679	2488	3982	3633	4228	3447	3217	6744
ENSG00000005471	ABCB4	13	9	34	14	10	29	60	21	45	31	38
ENSG00000005483	KMT2E	5980	1690	4221	2526	2022	5087	3216	4752	4720	2915	4281
ENSG00000005486	RHBDD2	10718	6317	5138	8814	4237	9604	13219	8419	10522	3587	12920
ENSG00000005513	SOX8	22	43	59	53	18	78	105	22	68	111	14
ENSG00000005700	IBTK	3873	1012	2955	1455	1367	3588	2563	3751	3397	3663	3225
ENSG00000005801	ZNF195	1073	324	547	383	514	903	654	715	737	807	380
ENSG00000005810	MYCBP2	4181	1057	4197	1922	1369	4069	3001	4003	4119	3067	2552
ENSG00000005812	FBXL3	8008	1290	4499	2288	2326	5642	2758	5004	4007	3790	2319
ENSG00000005844	ITGAL	123	39	986	329	72	1047	2790	172	823	124	119
ENSG00000005882	PDK2	2440	954	1559	930	820	1894	1500	2039	1812	3083	1770
ENSG00000005884	ITGA3	15744	15432	11563	15218	4504	14221	24846	10830	18453	10787	12330
ENSG00000005889	ZFX	3188	737	2256	976	1148	1504	1490	1462	1359	1192	2666
ENSG00000005893	LAMP2	10806	4701	7749	13458	3658	7927	11566	8566	7536	7845	10721
ENSG00000005961	ITGA2B	245	48	339	54	143	398	36	124	106	168	98
ENSG00000005981	ASB4	23	10	24	5	14	10	16	7	16	6	13
ENSG00000006007	GDE1	3788	1493	1942	1425	1195	2633	2933	3146	2618	5407	3571
ENSG00000006015	REX1BD	1227	583	901	981	572	1472	1215	808	971	1258	1160
ENSG00000006016	CRLF1	324	198	155	1127	86	122	144	261	178	95	183
ENSG00000006025	OSBPL7	743	309	616	442	522	871	593	443	685	565	507
ENSG00000006042	TMEM98	3704	1844	2900	2706	1276	3372	3448	3673	2964	410	3183
ENSG00000006047	YBX2	113	114	107	81	163	212	39	71	65	199	160
ENSG00000006059	KRT33A	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006062	MAP3K14	498	347	2479	362	578	2023	852	737	704	439	269
ENSG00000006071	ABCC8	1085	78	1027	234	217	263	494	206	191	7	730
ENSG00000006116	CACNG3	0	0	0	0	0	1	2	0	0	0	0
ENSG00000006118	TMEM132A	155	165	188	273	47	198	942	102	343	104	261
ENSG00000006125	AP2B1	16302	6090	10655	9485	5953	12672	13838	13965	13401	12690	11583
ENSG00000006128	TAC1	9	0	24	1	5	61	0	16	18	0	3
ENSG00000006194	ZNF263	2163	747	1553	859	772	2306	1185	1872	1576	1165	1878
ENSG00000006210	CX3CL1	1474	1890	1850	4044	317	2280	3805	540	4252	1142	1064
ENSG00000006282	SPATA20	5494	2415	4434	3458	3889	7414	3567	6351	4742	12032	6381
ENSG00000006283	CACNA1G	20	22	21	11	15	36	3	17	12	121	73
ENSG00000006327	TNFRSF12A	552	6009	7266	5956	994	7956	4346	1855	4812	1369	685
ENSG00000006377	DLX6	8	3	3	6	4	5	3	1	4	0	2
ENSG00000006432	MAP3K9	1374	597	858	627	681	1203	750	1277	1241	1683	1483
ENSG00000006451	RALA	2147	615	1870	960	672	1933	1460	1618	1465	1576	1706
ENSG00000006453	BAIAP2L1	2115	428	1342	760	811	1728	1220	1662	1366	1239	1721
ENSG00000006459	KDM7A	968	391	1192	497	341	1082	847	814	815	751	959
ENSG00000006468	ETV1	1695	903	932	1922	254	830	1620	869	1729	247	2175
ENSG00000006530	AGK	1303	946	852	657	696	1195	919	873	957	1428	1946
ENSG00000006534	ALDH3B1	155	492	271	799	48	256	1264	146	769	490	71
ENSG00000006555	TTC22	735	273	540	346	308	435	481	454	470	443	381
ENSG00000006576	PHTF2	927	290	1206	741	360	1412	873	901	1033	389	1636
ENSG00000006606	CCL26	0	2	2	2	1	3	9	3	3	1	0
ENSG00000006607	FARP2	951	232	840	265	419	990	472	754	751	981	451
ENSG00000006611	USH1C	227	2	154	12	119	12	18	3	4	3	136
ENSG00000006625	GGCT	577	1551	483	1209	266	623	1407	343	722	667	451
ENSG00000006634	DBF4	194	64	172	85	68	169	212	161	195	109	195
ENSG00000006638	TBXA2R	82	99	62	118	37	105	123	54	131	96	103
ENSG00000006652	IFRD1	1721	575	2422	904	806	2353	1265	1304	1255	1418	1219
ENSG00000006659	LGALS14	0	0	0	0	0	0	0	0	0	0	0
ENSG00000006695	COX10	875	170	450	177	322	565	393	657	456	647	671
ENSG00000006704	GTF2IRD1	2174	1306	977	1064	1409	1588	1278	2024	1344	1800	2994
ENSG00000006712	PAF1	4500	2077	4320	2281	2156	5580	3483	3891	3398	2045	2918
ENSG00000006715	VPS41	3441	1276	2703	1429	1440	2726	2196	2659	2372	2265	3671
ENSG00000006740	ARHGAP44	2027	527	1763	731	591	1635	804	2097	1167	407	327
ENSG00000006744	ELAC2	3753	1403	2446	1656	1581	3027	2605	2738	2684	5031	3612
ENSG00000006747	SCIN	90	15	182	73	46	132	241	264	106	279	77
ENSG00000006756	ARSD	7022	2521	4819	2738	2548	3566	3529	3941	3342	4700	4011
ENSG00000006757	PNPLA4	2511	555	1380	675	1154	1340	1055	1135	862	1157	3706
ENSG00000006788	MYH13	0	0	0	0	0	2	0	0	0	0	0
ENSG00000006831	ADIPOR2	7161	1747	4594	2098	2886	5625	3221	5679	4282	4436	10360
ENSG00000006837	CDKL3	50	16	33	19	36	62	23	44	23	30	67
ENSG00000007001	UPP2	21	3	13	13	6	16	16	17	25	14	3
ENSG00000007038	PRSS21	0	2	0	0	0	2	57	0	4	0	0
ENSG00000007047	MARK4	1933	692	1245	813	685	1746	1077	1726	1498	1105	1086
ENSG00000007062	PROM1	167	3	1431	21	484	1016	18	536	231	1413	118
ENSG00000007080	CCDC124	2732	1232	1501	1408	1112	2643	2216	1869	1824	1967	1957
ENSG00000007129	CEACAM21	8	7	86	32	13	55	211	25	55	17	12
ENSG00000007168	PAFAH1B1	9392	3099	6044	3735	3414	8239	5747	8316	7069	5028	10186
ENSG00000007171	NOS2	17	28	41	6	11	18	19	13	62	9	34
ENSG00000007174	DNAH9	115	21	148	21	61	153	46	127	100	176	315
ENSG00000007202	KIAA0100	8563	2974	5900	3995	3233	7037	6583	7835	7256	9056	8497
ENSG00000007216	SLC13A2	0	2	2	0	1	6	0	0	0	0	0
ENSG00000007237	GAS7	511	621	864	2899	210	683	2076	646	611	1537	34
ENSG00000007255	TRAPPC6A	2097	369	1028	443	1018	2081	806	1419	861	2016	1337
ENSG00000007264	MATK	22	22	260	75	16	265	779	37	183	22	40
ENSG00000007306	CEACAM7	1	0	0	0	0	0	0	1	0	2	0
ENSG00000007312	CD79B	10	40	291	93	5	357	1106	11	257	15	16
ENSG00000007314	SCN4A	405	242	764	962	234	685	1903	241	770	2738	526
ENSG00000007341	ST7L	774	249	459	207	353	777	496	681	600	507	537
ENSG00000007350	TKTL1	2	0	3	0	1	9	1	1	2	0	0
ENSG00000007372	PAX6	0	0	3	0	0	2	0	0	0	0	0
ENSG00000007376	RPUSD1	967	404	608	443	353	795	837	621	685	874	790
ENSG00000007384	RHBDF1	906	842	964	2043	883	1763	1564	1184	1793	1314	402
ENSG00000007392	LUC7L	1412	1075	1547	1177	2093	2879	1278	1161	1408	909	687
ENSG00000007402	CACNA2D2	455	338	239	699	252	398	564	359	848	158	146
ENSG00000007516	BAIAP3	59	826	74	868	36	101	76	23	209	218	24
ENSG00000007520	TSR3	2201	932	1307	1129	895	2027	1677	1671	1496	1415	1553
ENSG00000007541	PIGQ	3840	1927	2110	2809	1976	4322	3158	2864	3111	4210	3573
ENSG00000007545	CRAMP1	1093	368	584	370	565	936	464	977	736	694	582
ENSG00000007866	TEAD3	1175	791	917	810	548	1388	648	1310	1022	1361	376
ENSG00000007908	SELE	166	59	1226	256	214	2371	129	664	687	59	63
ENSG00000007923	DNAJC11	1342	366	873	484	548	988	718	1151	884	1352	1077
ENSG00000007933	FMO3	29	2	38	23	9	57	78	10	41	3	10
ENSG00000007944	MYLIP	9306	2097	5559	1785	2394	3621	2455	4757	4285	4938	3344
ENSG00000007952	NOX1	26	28	24	16	21	42	39	14	21	17	35
ENSG00000007968	E2F2	36	32	52	27	11	64	183	28	103	26	47
ENSG00000008018	PSMB1	6763	3145	4134	3643	2963	8339	5808	5364	4841	5307	4201
ENSG00000008056	SYN1	9	41	11	116	5	13	13	14	85	0	3
ENSG00000008083	JARID2	688	251	639	454	315	639	633	403	617	1050	339
ENSG00000008086	CDKL5	1233	316	799	412	411	939	542	1189	1047	831	996
ENSG00000008118	CAMK1G	9	5	8	8	1	5	25	1	6	5	7
ENSG00000008128	CDK11A	62	17	31	34	45	107	58	43	47	46	21
ENSG00000008130	NADK	2337	829	1700	1031	960	2047	2052	1880	2014	4150	2080
ENSG00000008196	TFAP2B	0	0	0	0	0	0	1	0	0	0	0
ENSG00000008197	TFAP2D	0	0	0	0	0	0	0	0	0	0	0
ENSG00000008226	DLEC1	50	130	90	65	53	157	84	76	161	205	3
ENSG00000008256	CYTH3	6249	611	3397	933	2784	4369	2265	4344	2837	3668	3319
ENSG00000008277	ADAM22	1345	53	878	251	553	811	187	1044	624	388	1125
ENSG00000008282	SYPL1	14384	3393	7781	4089	4480	11187	5775	11023	7223	11383	8752
ENSG00000008283	CYB561	6713	1867	3883	1793	3658	5919	4453	5424	4415	4195	10399
ENSG00000008294	SPAG9	9693	2390	5871	2778	3584	8262	4560	10003	6769	10089	11999
ENSG00000008300	CELSR3	124	77	131	83	73	179	130	103	140	80	84
ENSG00000008311	AASS	656	73	661	118	329	685	133	560	440	54	689
ENSG00000008323	PLEKHG6	525	191	333	69	187	588	123	575	370	2838	194
ENSG00000008324	SS18L2	872	225	582	260	274	941	509	486	427	309	341
ENSG00000008382	MPND	800	377	530	429	416	769	852	644	536	955	566
ENSG00000008394	MGST1	9993	10001	7152	9482	4260	10088	15586	8567	8936	22094	5324
ENSG00000008405	CRY1	2469	651	2403	826	878	2943	1153	1923	1536	1117	1566
ENSG00000008438	PGLYRP1	1	3	7	0	1	6	0	1	1	0	1
ENSG00000008441	NFIX	7471	2847	6179	7007	2967	6619	5930	6971	6886	2874	6240
ENSG00000008513	ST3GAL1	22987	6889	13147	9396	5961	17693	17624	14034	24481	6593	14099
ENSG00000008516	MMP25	34	26	123	16	25	129	87	36	77	30	17
ENSG00000008517	IL32	354	114	1023	205	219	1186	1571	232	823	360	132
ENSG00000008710	PKD1	2119	580	1982	822	1097	2303	954	2056	1641	1464	1254
ENSG00000008735	MAPK8IP2	202	22	209	32	74	191	75	188	84	44	43
ENSG00000008838	MED24	3150	1183	2127	1297	1488	2607	2199	2468	1949	2392	2106
ENSG00000008853	RHOBTB2	4202	1595	2188	2770	1356	2838	4223	2928	3053	1226	1567
ENSG00000008869	HEATR5B	2034	543	1710	870	862	1608	1240	1543	1597	1402	1134
ENSG00000008952	SEC62	22691	5421	12712	6241	7613	19200	12120	16844	12345	15330	12469
ENSG00000008988	RPS20	17877	6922	10560	8950	5129	17754	13855	10929	11264	13109	4696
ENSG00000009307	CSDE1	43535	12027	27432	15549	14397	34196	25935	34230	28048	27772	26430
ENSG00000009335	UBE3C	3133	1284	2427	1630	1127	2792	2573	2729	2823	4070	2821
ENSG00000009413	REV3L	2680	420	1757	776	809	1919	1014	2483	1954	1922	1024
ENSG00000009694	TENM1	336	4722	135	3191	164	127	4347	107	4802	16	422
ENSG00000009709	PAX7	1	0	0	0	2	1	3	0	0	0	0
ENSG00000009724	MASP2	66	18	61	21	79	73	23	43	38	32	39
ENSG00000009765	IYD	166853	20936	74721	6422	46763	111070	33006	120210	73284	44136	45593
ENSG00000009780	FAM76A	1470	325	754	523	602	1446	697	1206	980	875	1056
ENSG00000009790	TRAF3IP3	26	6	263	101	27	366	646	35	286	20	22
ENSG00000009830	POMT2	1918	643	1118	552	1020	1674	853	1455	1173	2930	2679
ENSG00000009844	VTA1	2294	704	1660	857	841	2213	1558	1965	1426	1998	1194
ENSG00000009950	MLXIPL	144	220	246	84	246	261	81	89	155	1037	360
ENSG00000009954	BAZ1B	6215	1949	3818	2970	2058	4524	4277	5213	5317	4645	6944
ENSG00000010017	RANBP9	2129	964	1828	1134	818	2107	1851	1748	1784	1454	1471
ENSG00000010030	ETV7	6	30	206	132	8	207	421	46	246	28	10
ENSG00000010072	SPRTN	476	164	497	247	221	679	351	491	412	327	495
ENSG00000010165	EEF1AKNMT	1809	751	1162	751	626	1472	1365	1354	1354	1424	1490
ENSG00000010219	DYRK4	1064	420	595	523	486	1050	789	755	762	906	1227
ENSG00000010244	ZNF207	5200	2519	5062	3150	3329	6829	4604	4365	4925	4205	3551
ENSG00000010256	UQCRC1	7836	3183	4805	3521	3668	7505	5640	5857	5590	7931	7904
ENSG00000010270	STARD3NL	3342	1020	1775	940	1248	3281	1465	2726	1920	1208	2182
ENSG00000010278	CD9	20097	10961	14344	10534	8880	16944	13296	17406	13933	17870	19179
ENSG00000010282	HHATL	1831	363	719	939	846	578	3047	1686	682	2781	2347
ENSG00000010292	NCAPD2	3200	1098	2250	1250	1237	2109	2048	2293	2396	2032	2861
ENSG00000010295	IFFO1	237	80	353	326	260	484	542	176	357	68	99
ENSG00000010310	GIPR	15	59	17	17	12	24	91	2	83	4	7
ENSG00000010318	PHF7	143	77	160	84	77	154	107	109	99	247	195
ENSG00000010319	SEMA3G	411	216	235	369	137	385	343	338	464	811	321
ENSG00000010322	NISCH	6649	2882	4597	3260	3402	6251	4853	5909	5412	4102	3739
ENSG00000010327	STAB1	840	716	1280	1081	438	1497	2137	1405	1515	973	1008
ENSG00000010361	FUZ	1335	509	869	534	592	1261	680	991	736	2907	799
ENSG00000010379	SLC6A13	476	214	338	118	143	359	136	366	172	419	17
ENSG00000010404	IDS	7302	3373	6383	4964	2698	6344	7337	5556	6861	2528	8117
ENSG00000010438	PRSS3	0	2	2	7	1	2	4	2	8	14	1
ENSG00000010539	ZNF200	415	152	311	214	155	420	288	308	372	348	325
ENSG00000010610	CD4	253	298	1934	920	102	1513	5404	389	1502	1471	358
ENSG00000010626	LRRC23	823	231	586	239	390	807	355	602	392	500	941
ENSG00000010671	BTK	24	27	353	114	8	293	1040	29	271	30	33
ENSG00000010704	HFE	1106	327	751	640	434	961	844	988	815	319	1250
ENSG00000010803	SCMH1	3537	1083	2050	1666	1286	2785	1882	3066	2246	1893	1730
ENSG00000010810	FYN	3243	2812	2330	3009	1477	2718	5719	2464	4147	3051	5815
ENSG00000010818	HIVEP2	3124	644	2420	1174	1197	2672	1360	3178	2396	3042	2137
ENSG00000010932	FMO1	74	2	56	11	21	58	20	77	37	11	0
ENSG00000011007	ELOA	3181	1050	1866	1450	1316	2622	2154	2967	2602	2123	2980
ENSG00000011009	LYPLA2	2418	2660	1497	2758	1045	2818	3810	1870	2568	2070	1655
ENSG00000011021	CLCN6	1455	336	896	605	640	1264	879	1206	1007	699	563
ENSG00000011028	MRC2	646	1387	789	7625	367	954	17469	770	5739	65	257
ENSG00000011052	NME1-NME2	7	0	3	1	3	4	3	2	11	5	6
ENSG00000011083	SLC6A7	2	0	3	1	0	0	3	0	1	0	0
ENSG00000011105	TSPAN9	3645	1863	2010	2908	1331	2475	3562	3565	3260	1486	3233
ENSG00000011114	BTBD7	4769	1205	2404	1330	1706	2986	1890	3633	2985	3003	3392
ENSG00000011132	APBA3	925	367	653	412	464	974	721	788	588	581	604
ENSG00000011143	MKS1	865	259	671	280	443	791	447	567	521	702	668
ENSG00000011198	ABHD5	2398	494	1985	814	961	2203	1085	1828	1504	2486	2318
ENSG00000011201	ANOS1	1723	711	1335	1307	603	1481	2906	1426	1944	216	1927
ENSG00000011243	AKAP8L	1896	755	1598	869	1264	2459	1170	1617	1462	1310	1363
ENSG00000011258	MBTD1	1824	581	1214	620	712	1588	827	1363	1257	2550	1216
ENSG00000011260	UTP18	2589	875	1486	1056	857	2121	1652	1890	1789	1310	1587
ENSG00000011275	RNF216	4003	1184	1913	1589	1310	2623	2237	3217	2674	1603	3489
ENSG00000011295	TTC19	5422	1765	3066	1745	1978	4423	2476	3625	3287	2606	3154
ENSG00000011304	PTBP1	13742	5028	12078	6193	6029	12173	8730	10846	9717	9603	7919
ENSG00000011332	DPF1	4	3	11	5	4	7	11	3	9	2	6
ENSG00000011347	SYT7	1312	121	238	23	241	799	108	2198	383	15373	2001
ENSG00000011376	LARS2	1396	413	982	562	480	903	873	1260	861	2014	2021
ENSG00000011405	PIK3C2A	7407	1150	4910	2039	2704	6478	3033	6500	4886	4412	4407
ENSG00000011422	PLAUR	117	550	981	1225	48	823	1133	131	416	221	191
ENSG00000011426	ANLN	21	55	70	68	15	61	150	65	156	98	112
ENSG00000011451	WIZ	2993	958	1847	1208	1142	2283	1513	2316	1930	2259	1750
ENSG00000011454	RABGAP1	9165	1447	5066	2059	2787	5581	2842	6514	4806	4655	4769
ENSG00000011465	DCN	11801	76	11216	1203	4024	18716	4030	11420	6652	21	49
ENSG00000011478	QPCTL	886	279	688	379	487	995	626	630	504	546	559
ENSG00000011485	PPP5C	2584	1506	1807	1983	1104	2406	2347	1952	2389	2074	1984
ENSG00000011523	CEP68	2841	463	1453	513	903	1863	715	2552	1438	1621	1475
ENSG00000011566	MAP4K3	4628	687	2203	1227	1435	2923	1245	2977	1961	2966	1380
ENSG00000011590	ZBTB32	21	4	68	16	10	45	39	18	12	55	9
ENSG00000011600	TYROBP	163	214	1078	519	43	1104	5024	211	833	205	171
ENSG00000011638	TMEM159	1526	502	876	562	351	835	926	906	950	1885	792
ENSG00000011677	GABRA3	0	0	1	0	0	0	0	0	1	0	0
ENSG00000012048	BRCA1	1045	127	394	444	155	359	559	381	489	140	544
ENSG00000012061	ERCC1	2364	1247	1729	1319	1088	2512	2163	1795	1643	1531	1519
ENSG00000012124	CD22	223	491	648	1657	130	483	1067	566	485	186	56
ENSG00000012171	SEMA3B	2221	350	1678	270	927	1945	223	2328	661	1500	701
ENSG00000012174	MBTPS2	1208	436	859	562	389	1196	717	1167	1031	990	1309
ENSG00000012211	PRICKLE3	456	154	222	182	175	353	357	380	331	376	375
ENSG00000012223	LTF	724	27	2949	634	246	2264	2398	555	1186	205	1020
ENSG00000012232	EXTL3	3171	1029	1958	1747	1048	2008	2085	2271	2322	1019	2202
ENSG00000012504	NR1H4	0	0	1	0	0	0	0	0	1	67	0
ENSG00000012660	ELOVL5	6328	1742	7684	1384	3054	14136	3113	5006	3146	1911	2514
ENSG00000012779	ALOX5	63	505	630	358	36	498	3153	67	739	364	108
ENSG00000012817	KDM5D	6	0	0	0	0	2935	0	2238	2183	2228	0
ENSG00000012822	CALCOCO1	5352	3285	4211	2427	2660	5168	3841	4401	3899	15845	4504
ENSG00000012963	UBR7	2847	858	1699	1102	934	2241	1528	2043	1988	1442	1695
ENSG00000012983	MAP4K5	2956	818	2149	1012	1067	2605	1413	2504	2114	2526	1925
ENSG00000013016	EHD3	495	98	459	208	69	373	354	208	323	70	221
ENSG00000013275	PSMC4	4260	1678	2335	1929	1953	4063	3773	3542	3345	3283	4728
ENSG00000013288	MAN2B2	6044	1494	3370	2461	2159	5139	4642	6150	4860	9385	4317
ENSG00000013293	SLC7A14	7	0	1	1	2	2	2	2	4	0	5
ENSG00000013297	CLDN11	89	35	70	27	22	55	196	68	80	11	686
ENSG00000013306	SLC25A39	8376	3088	4619	3641	3985	8158	6830	5819	5320	10569	8066
ENSG00000013364	MVP	2593	5991	4436	8238	1176	4287	12691	2389	6513	3865	2417
